company_name,year,report_url,source_site,notes
Commonwealth Bank,2025,https://www.commbank.com.au/content/dam/commbank-assets/investors/docs/results/fy25/2025-annual-report.pdf,commbank.com.au,Official investor PDF
BHP Group,2025,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf,bhp.com,Official investor PDF
National Australia Bank,2024,https://www.nab.com.au/content/dam/nab/documents/reports/corporate/2024-annual-report.pdf,nab.com.au,Official investor PDF
Westpac Banking,2024,https://www.westpac.com.au/content/dam/public/wbc/documents/pdf/aw/ic/wbc-annual-report-2024.pdf,westpac.com.au,Official investor PDF
ANZ Bank,2024,https://www.anz.com.au/content/dam/anzcom/shareholder/ANZGHL-2024-Annual%20Report.pdf,anz.com.au,Official shareholder PDF
Wesfarmers,2024,https://www.wesfarmers.com.au/docs/default-source/asx-announcements/2024-annual-report-(including-appendix-4e).pdf?sfvrsn=1ab4e5bb_0,wesfarmers.com.au,Official investor PDF
Macquarie Group Limited,2025,https://www.macquarie.com/assets/macq/investor/reports/2025/macquarie-group-fy25-annual-report.pdf,macquarie.com,Official investor PDF
CSL,2025,https://www.csl.com/-/media/shared/documents/annual-report/csl-annual-report-2025.pdf,csl.com,Official annual report PDF
Goodman Group,2024,https://www.goodman.com/-/media/project/goodman/global/files/investor-centre/gmg-goodman-group/reports-and-newsletters/annual-reports/fy24_goodman-group_annual-report_distributed.pdf?hash=E236E571FA86C63AA550AF2DAFD503CA&rev=9e0e930e0b54414a8d8583dd511b7110,goodman.com,Official investor PDF
Transurban,2025,https://www.transurban.com/content/dam/investor-centre/04/2025-Corporate-Report.pdf,transurban.com,Official corporate report PDF
Woolworths Group,2025,https://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/reports/f25/Woolworths%20Group%20Annual%20Report%202025%20.pdf,woolworthsgroup.com.au,Official company PDF
Northern Star,2024,https://www.nsrltd.com/media/kmlbwkzn/2-2024-annual-report-double-page-22-08-2024.pdf,nsrltd.com,Official company PDF
Santos,2025,https://www.santos.com/wp-content/uploads/2026/02/Appendix-4E-and-2025-Annual-Report.pdf,santos.com,Official company PDF
REA Group,2024,https://cdn.rea-group.com/wp-content/uploads/2024/08/09085646/Annual-Report-to-shareholders.pdf,rea-group.com,Official company CDN PDF
South32,2024,https://www.south32.net/docs/default-source/exchange-releases/annual-report-2024-0x3a746a0c1a77ea64.pdf?sfvrsn=54e343e9_0,south32.net,Official company PDF
Scentre Group,2025,https://company-announcements.afr.com/asx/scg/cfdb9cac-1101-11f1-aa76-525adc3649ab.pdf,company-announcements.afr.com,Public market announcement mirror
Insurance Australia Group,2025,https://www.iag.com.au/content/dam/corporate-iag/iag-aus/au/en/documents/report-and-results/fy25-appendix-4e-annual-report.pdf,iag.com.au,Official company PDF
Suncorp,2024,https://www.suncorpgroup.com.au/uploads/FY24-Annual-Report-PDF.pdf,suncorpgroup.com.au,Official company PDF
Pro Medicus,2025,https://www.promed.com.au/wp-content/uploads/2025/08/25-PME-Signed-Annual-Report-with-Signed-Audit-Opinion.pdf,promed.com.au,Official company PDF
Qantas Airways,2025,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2025-Annual-Report.pdf,investor.qantas.com,Official investor PDF
