country,rank,name,ticker,exchange,market_cap_usd_billions,source_url,profile_url,statement_search_name,annual_report_url,cik
AU,1,Commonwealth Bank,CBA.AX,AX,207.15,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/commonwealth-bank/marketcap/,Commonwealth Bank,,
AU,2,BHP Group,BHP,,188.39,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/bhp-group/marketcap/,BHP Group,,
AU,3,National Australia Bank,NAB.AX,AX,103.76,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/national-australia-bank/marketcap/,National Australia Bank,,
AU,4,Westpac Banking,WBC.AX,AX,100.63,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/westpac-banking/marketcap/,Westpac Banking,,
AU,5,ANZ Bank,ANZ.AX,AX,81.3,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/anz-bank/marketcap/,ANZ Bank,,
AU,6,Wesfarmers,WES.AX,AX,61.75,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/wesfarmers/marketcap/,Wesfarmers,,
AU,7,Macquarie Group Limited,MQG.AX,AX,55.58,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/macquarie/marketcap/,Macquarie Group Limited,,
AU,8,CSL,CSL.AX,AX,49.63,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/csl/marketcap/,CSL,,
AU,12,Goodman Group,GMG.AX,AX,39.71,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/goodman/marketcap/,Goodman Group,,
AU,13,Transurban,TCL.AX,AX,32.1,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/transurban/marketcap/,Transurban,,
AU,14,Woolworths Group,WOW.AX,AX,31.39,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/woolworths-group/marketcap/,Woolworths Group,,
AU,15,Northern Star,NST.AX,AX,27.46,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/northern-star/marketcap/,Northern Star,,
AU,22,Santos,STO.AX,AX,17.2,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/santos/marketcap/,Santos,,
AU,23,REA Group,REA.AX,AX,16.07,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/rea-group/marketcap/,REA Group,,
AU,26,South32,S32.AX,AX,14.02,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/south32/marketcap/,South32,,
AU,28,Scentre Group,SCG.AX,AX,13.27,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/scentre-group/marketcap/,Scentre Group,,
AU,33,Insurance Australia Group,IAG.AX,AX,11.68,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/insurance-australia-group/marketcap/,Insurance Australia Group,,
AU,34,Suncorp,SUN.AX,AX,11.66,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/suncorp/marketcap/,Suncorp,,
AU,37,Pro Medicus,PME.AX,AX,10.25,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/pro-medicus/marketcap/,Pro Medicus,,
AU,38,Qantas Airways,QAN.AX,AX,9.58,https://www.companiesmarketcap.com/australia/largest-companies-in-australia-by-market-cap/,https://www.companiesmarketcap.com/qantas-airways/marketcap/,Qantas Airways,,
CN,1,Tencent,TCEHY,,663.96,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/tencent/marketcap/,Tencent,,
CN,2,ICBC,1398.HK,HK,355.06,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/icbc/marketcap/,ICBC,,
CN,3,China Construction Bank,601939.SS,SS,344.99,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/china-construction-bank/marketcap/,China Construction Bank,,
CN,4,Agricultural Bank of China,601288.SS,SS,338.13,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/agricultural-bank-of-china/marketcap/,Agricultural Bank of China,,
CN,5,PetroChina,0857.HK,HK,329.38,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/petro-china/marketcap/,PetroChina,,
CN,6,Alibaba,BABA,,326.72,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/alibaba/marketcap/,Alibaba,,
CN,10,China Mobile,0941.HK,HK,220.94,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/china-mobile/marketcap/,China Mobile,,
CN,11,CNOOC,0883.HK,HK,176.95,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/cnooc/marketcap/,CNOOC,,
CN,12,China Life Insurance,601628.SS,SS,175.5,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/china-life-insurance/marketcap/,China Life Insurance,,
CN,13,Ping An Insurance,601318.SS,SS,165.05,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/ping-an-insurance/marketcap/,Ping An Insurance,,
CN,14,CM Bank,3968.HK,HK,159.87,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/cm-bank/marketcap/,CM Bank,,
CN,15,Foxconn Industrial Internet,601138.SS,SS,155.95,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/foxconn-industrial-internet/marketcap/,Foxconn Industrial Internet,,
CN,16,PDD Holdings (Pinduoduo),PDD,,148.86,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/pinduoduo/marketcap/,PDD Holdings (Pinduoduo),,
CN,17,Zijin Mining,601899.SS,SS,144.29,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/zijin-mining/marketcap/,Zijin Mining,,
CN,18,China Shenhua Energy,601088.SS,SS,138.48,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/china-shenhua-energy/marketcap/,China Shenhua Energy,,
CN,19,BYD,002594.SZ,SZ,134.64,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/byd/marketcap/,BYD,,
CN,20,Sinopec,600028.SS,SS,114.76,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/sinopec/marketcap/,Sinopec,,
CN,21,Xiaomi,XIACF,,113.5,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/xiaomi/marketcap/,Xiaomi,,
CN,22,China Yangtze Power,600900.SS,SS,97.34,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/china-yangtze-power/marketcap/,China Yangtze Power,,
CN,24,Postal Savings Bank of China,601658.SS,SS,88.03,https://www.companiesmarketcap.com/china/largest-companies-in-china-by-market-cap/,https://www.companiesmarketcap.com/postal-savings-bank-of-china/marketcap/,Postal Savings Bank of China,,
US,1,NVIDIA,NVDA,,4490.84,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/nvidia/marketcap/,NVIDIA,,
US,2,Apple,AAPL,,3833.66,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/apple/marketcap/,Apple,,
US,3,Alphabet (Google),GOOG,,3712.93,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/alphabet-google/marketcap/,Alphabet (Google),,
US,4,Microsoft,MSFT,,3015.76,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/microsoft/marketcap/,Microsoft,,
US,5,Amazon,AMZN,,2300.82,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/amazon/marketcap/,Amazon,,
US,8,Tesla,TSLA,,1498.1,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/tesla/marketcap/,Tesla,,
US,9,Berkshire Hathaway,BRK-B,,1066.03,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/berkshire-hathaway/marketcap/,Berkshire Hathaway,,
US,10,Walmart,WMT,,997.56,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/walmart/marketcap/,Walmart,,
US,11,Eli Lilly,LLY,,896.23,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/eli-lilly/marketcap/,Eli Lilly,,
US,12,JPMorgan Chase,JPM,,778.71,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/jp-morgan-chase/marketcap/,JPMorgan Chase,,
US,13,Exxon Mobil,XOM,,617.22,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/exxon-mobil/marketcap/,Exxon Mobil,,
US,14,Visa,V,,606.23,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/visa/marketcap/,Visa,,
US,15,Johnson & Johnson,JNJ,,587.32,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/johnson-and-johnson/marketcap/,Johnson & Johnson,,
US,16,Mastercard,MA,,459.36,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/mastercard/marketcap/,Mastercard,,
US,19,Oracle,ORCL,,429.39,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/oracle/marketcap/,Oracle,,
US,20,Netflix,NFLX,,411.21,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/netflix/marketcap/,Netflix,,
US,21,AbbVie,ABBV,,401.39,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/abbvie/marketcap/,AbbVie,,
US,22,Chevron,CVX,,372.46,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/chevron/marketcap/,Chevron,,
US,25,Home Depot,HD,,355.55,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/home-depot/marketcap/,Home Depot,,
US,26,Bank of America,BAC,,354.61,https://www.companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,https://www.companiesmarketcap.com/bank-of-america/marketcap/,Bank of America,,
