edge_id,source_entity_id,target_entity_id,relation_type,confidence,evidence_ids,countries,source_systems,explicit
edge-f6e1d51f292a,ent-c94ad312fbfc,ent-13e23534eb8e,undisclosed_supplier,low,"[""au-commonwealth-bank-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-bf4a4e76f3f3,ent-79faffaaa636,ent-13e23534eb8e,undisclosed_supplier,low,"[""au-commonwealth-bank-statement-2-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-b071b292adf9,ent-1047c80c439f,ent-13e23534eb8e,undisclosed_supplier,low,"[""au-commonwealth-bank-2025-annual-report-ev-8908b74ea7""]","[""AU""]","[""Australian Annual Report""]",False
edge-e767e63c89a6,ent-7da5f29e9c3c,ent-7179ecc5f47f,undisclosed_supplier,low,"[""au-bhp-group-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-ae071f41dfd4,ent-1cc8a4bba936,ent-7179ecc5f47f,undisclosed_supplier,low,"[""au-bhp-group-statement-2-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-f849a74abead,ent-c3bf9001b626,ent-3f2a9664a364,undisclosed_supplier,low,"[""au-national-australia-bank-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-4dffad969f63,ent-9372762fcab4,ent-3f2a9664a364,undisclosed_supplier,low,"[""au-national-australia-bank-statement-2-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-34c74859b083,ent-1fce686e0be4,ent-3f2a9664a364,undisclosed_supplier,low,"[""au-national-australia-bank-2024-annual-report-ev-8908b74ea7""]","[""AU""]","[""Australian Annual Report""]",False
edge-42b6b5c77456,ent-4d8e4acaf378,ent-035b2439d6fd,undisclosed_supplier,low,"[""au-westpac-banking-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-1fd956b0e22a,ent-59994dd6440c,ent-035b2439d6fd,undisclosed_supplier,low,"[""au-westpac-banking-statement-2-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-9f765e546994,ent-cdbdd0c81a8e,ent-035b2439d6fd,undisclosed_supplier,low,"[""au-westpac-banking-2024-annual-report-ev-8908b74ea7""]","[""AU""]","[""Australian Annual Report""]",False
edge-a6d5ec52b1eb,ent-f7e6340da899,ent-cd7449b31e36,undisclosed_supplier,low,"[""au-anz-bank-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-7ad79112d133,ent-a583efc08bd6,ent-cd7449b31e36,undisclosed_supplier,low,"[""au-anz-bank-2024-annual-report-ev-8908b74ea7""]","[""AU""]","[""Australian Annual Report""]",False
edge-f874e8ea0200,ent-91cfc801a29a,ent-f2202d662dbc,undisclosed_supplier,low,"[""au-wesfarmers-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-10faa5ecf965,ent-2e2f50e65dfc,ent-f2202d662dbc,undisclosed_supplier,low,"[""au-wesfarmers-statement-2-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-0fcc3b6241ed,ent-29a1338cedc3,ent-f2202d662dbc,undisclosed_supplier,low,"[""au-wesfarmers-2024-annual-report-ev-8908b74ea7""]","[""AU""]","[""Australian Annual Report""]",False
edge-629be2811bca,ent-9800606c5597,ent-4ba0de8959cc,undisclosed_supplier,low,"[""au-macquarie-group-limited-statement-1-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
edge-71d431fac628,ent-cee48ffe61c3,ent-4ba0de8959cc,undisclosed_supplier,low,"[""au-macquarie-group-limited-statement-2-ev-91246b92ed""]","[""AU""]","[""Modern Slavery Statements Register""]",False
